imo,mmsi,name,flag,type
8301802,710074500,LAGES,BR,"Oil Products Tanker"
8421171,710074400,"NT PEDREIRAS",BR,"Crude Oil Tanker"
8421169,710074200,POTENGI,BR,"Crude Oil Tanker"
8617079,710074100,PIRAJUI,BR,"Crude Oil Tanker"
8617093,710074018,"LINDOIA BR",BR,"Oil Products Tanker"
8617055,710074016,"LORENA BR",BR,"Oil Products Tanker"
9603233,710074011,"AMERICO VESPUCIO",BR,Cargo
9625396,710074009,"VICENTE PINZON",BR,"Cargo B"
9070565,710071000,"MARCOS DIAS",BR,"Bulk Carrier"
9055113,710070000,"SAO LUIZ",BR,"Bulk Carrier"
9318412,710069000,"CBO GUANABARA",BR,"Multi Purpose Offshore Vessel"
9270244,710053000,"HAROLDO RAMOS",BR,"Anchor Handling Vessel"
9273258,710052000,AUSTRAL_ABROLHOS,BR,"Offshore Supply Ship"
9270232,710050000,"YVAN BARRETTO",BR,"Anchor Handling Vessel"
9000742,710045000,"ALIANCA EUROPA",BR,"Container Ship"
9270220,710039000,"GEONISIO BARROSO",BR,"Anchor Handling Vessel"
8020769,710034000,"CASTILLO DE GUADALUP",BR,Bulker
8716227,710031000,"ENG MASCARENHAS",BR,Tug
